,id,original_title,popularity,title,vote_average,vote_count,0,1,2,3,4,5,6,7
0,862,Toy Story,21.946943,Toy Story,7.7,5415.0,Animation,Comedy,Family,,,,,
1,8844,Jumanji,17.015539,Jumanji,6.9,2413.0,Adventure,Fantasy,Family,,,,,
2,15602,Grumpier Old Men,11.7129,Grumpier Old Men,6.5,92.0,Romance,Comedy,,,,,,
3,31357,Waiting to Exhale,3.859495,Waiting to Exhale,6.1,34.0,Comedy,Drama,Romance,,,,,
4,11862,Father of the Bride Part II,8.387519000000001,Father of the Bride Part II,5.7,173.0,Comedy,,,,,,,
5,949,Heat,17.924927,Heat,7.7,1886.0,Action,Crime,Drama,Thriller,,,,
6,11860,Sabrina,6.677277,Sabrina,6.2,141.0,Comedy,Romance,,,,,,
7,45325,Tom and Huck,2.5611610000000002,Tom and Huck,5.4,45.0,Action,Adventure,Drama,Family,,,,
8,9091,Sudden Death,5.23158,Sudden Death,5.5,174.0,Action,Adventure,Thriller,,,,,
9,710,GoldenEye,14.686035999999998,GoldenEye,6.6,1194.0,Adventure,Action,Thriller,,,,,
10,9087,The American President,6.318445,The American President,6.5,199.0,Comedy,Drama,Romance,,,,,
11,12110,Dracula: Dead and Loving It,5.430331,Dracula: Dead and Loving It,5.7,210.0,Comedy,Horror,,,,,,
12,21032,Balto,12.140733,Balto,7.1,423.0,Family,Animation,Adventure,,,,,
13,10858,Nixon,5.092,Nixon,7.1,72.0,History,Drama,,,,,,
14,1408,Cutthroat Island,7.284477000000001,Cutthroat Island,5.7,137.0,Action,Adventure,,,,,,
15,524,Casino,10.137389,Casino,7.8,1343.0,Drama,Crime,,,,,,
16,4584,Sense and Sensibility,10.673167,Sense and Sensibility,7.2,364.0,Drama,Romance,,,,,,
17,5,Four Rooms,9.026586,Four Rooms,6.5,539.0,Crime,Comedy,,,,,,
18,9273,Ace Ventura: When Nature Calls,8.205447999999999,Ace Ventura: When Nature Calls,6.1,1128.0,Crime,Comedy,Adventure,,,,,
19,11517,Money Train,7.337905999999999,Money Train,5.4,224.0,Action,Comedy,Crime,,,,,
20,8012,Get Shorty,12.669608,Get Shorty,6.4,305.0,Comedy,Thriller,Crime,,,,,
21,1710,Copycat,10.701801,Copycat,6.5,199.0,Drama,Thriller,,,,,,
22,9691,Assassins,11.065939,Assassins,6.0,394.0,Action,Adventure,Crime,Thriller,,,,
23,12665,Powder,12.133094,Powder,6.3,143.0,Drama,Fantasy,Science Fiction,Thriller,,,,
24,451,Leaving Las Vegas,10.332025,Leaving Las Vegas,7.1,365.0,Drama,Romance,,,,,,
25,16420,Othello,1.8458990000000002,Othello,7.0,33.0,Drama,,,,,,,
26,9263,Now and Then,8.681325,Now and Then,6.6,91.0,Comedy,Drama,Family,,,,,
27,17015,Persuasion,2.228434,Persuasion,7.4,36.0,Drama,Romance,,,,,,
28,902,La Cité des Enfants Perdus,9.822422999999999,The City of Lost Children,7.6,308.0,Fantasy,Science Fiction,Adventure,,,,,
29,37557,摇啊摇，摇到外婆桥,1.1009149999999999,Shanghai Triad,6.5,17.0,Drama,Crime,,,,,,
30,9909,Dangerous Minds,9.481338000000001,Dangerous Minds,6.4,249.0,Drama,Crime,,,,,,
